"filename", "language", "TOML", "JSON", "C++", "Rust", "comment", "blank", "total"
"e:\dmludp_summary\dmludpv6\dmludp\Cargo.toml", "TOML", 13, 0, 0, 0, 2, 4, 19
"e:\dmludp_summary\dmludpv6\dmludp\src\client.cc", "C++", 0, 0, 211, 0, 37, 83, 331
"e:\dmludp_summary\dmludpv6\dmludp\src\dmludp.h", "C++", 0, 0, 144, 0, 145, 140, 429
"e:\dmludp_summary\dmludpv6\dmludp\src\ffi.rs", "Rust", 0, 0, 0, 393, 261, 177, 831
"e:\dmludp_summary\dmludpv6\dmludp\src\lib.rs", "Rust", 0, 0, 0, 1016, 561, 395, 1972
"e:\dmludp_summary\dmludpv6\dmludp\src\packet.rs", "Rust", 0, 0, 0, 188, 91, 58, 337
"e:\dmludp_summary\dmludpv6\dmludp\src\recovery\NewCubic.rs", "Rust", 0, 0, 0, 58, 93, 52, 203
"e:\dmludp_summary\dmludpv6\dmludp\src\recovery\mod.rs", "Rust", 0, 0, 0, 245, 115, 151, 511
"e:\dmludp_summary\dmludpv6\dmludp\src\recovery\modv1.rs", "Rust", 0, 0, 0, 210, 104, 126, 440
"e:\dmludp_summary\dmludpv6\dmludp\src\server.cc", "C++", 0, 0, 237, 0, 27, 100, 364
"e:\dmludp_summary\dmludpv6\dmludp\src\tclient.cc", "C++", 0, 0, 101, 0, 6, 30, 137
"e:\dmludp_summary\dmludpv6\dmludp\target\.rustc_info.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"e:\dmludp_summary\dmludpv6\dmludp\target\debug\.fingerprint\cfg-if-52fc72e823305762\lib-cfg-if.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"e:\dmludp_summary\dmludpv6\dmludp\target\debug\.fingerprint\dmludp-0a575dc99b876b61\test-lib-dmludp.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"e:\dmludp_summary\dmludpv6\dmludp\target\debug\.fingerprint\dmludp-947f8d5ee43548ef\lib-dmludp.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"e:\dmludp_summary\dmludpv6\dmludp\target\debug\.fingerprint\getrandom-ab2df4e0d07cad50\lib-getrandom.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"e:\dmludp_summary\dmludpv6\dmludp\target\debug\.fingerprint\libc-11a85040e038a305\build-script-build-script-build.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"e:\dmludp_summary\dmludpv6\dmludp\target\debug\.fingerprint\libc-940a36004f66ee81\lib-libc.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"e:\dmludp_summary\dmludpv6\dmludp\target\debug\.fingerprint\libc-d908df933d04f57e\run-build-script-build-script-build.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"e:\dmludp_summary\dmludpv6\dmludp\target\debug\.fingerprint\octets-0727615540a2e698\lib-octets.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"e:\dmludp_summary\dmludpv6\dmludp\target\debug\.fingerprint\ppv-lite86-bf59ceb59bd7bb62\lib-ppv-lite86.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"e:\dmludp_summary\dmludpv6\dmludp\target\debug\.fingerprint\rand-a4b1298d1e45cabd\lib-rand.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"e:\dmludp_summary\dmludpv6\dmludp\target\debug\.fingerprint\rand_chacha-d1ad9c16e834fb71\lib-rand_chacha.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"e:\dmludp_summary\dmludpv6\dmludp\target\debug\.fingerprint\rand_core-21256f2170415d7f\lib-rand_core.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"e:\dmludp_summary\dmludpv6\dmludp\target\debug\.fingerprint\ranges-c25857471482ffb8\lib-ranges.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"Total", "-", 13, 14, 693, 2110, 1442, 1316, 5588
